"","gene","pLI"
"5661","BICD1",1.5724e-05
"5662","SMYD5",0.013063
"5663","ST6GAL1",0.2341
"5664","DTX2",0.028903
"5665","ANKRD13A",0.00020646
"5666","SRM",0.23479
"5667","DEF8",0.0025904
"5668","CRYBB2",0.38956
"5669","GPR101",0.70375
"5670","KDM5B",7.9102e-15
"5671","PROS1",0.00047089
"5672","EIF2AK4",1.2356e-15
"5673","THSD4",4.8082e-07
"5674","WFDC2",0.79406
"5675","PVRL1",0.061154
"5676","CEBPZ",6.5282e-06
"5677","CACHD1",5.8276e-09
"5678","SH3BP4",0.0025338
"5679","SLC24A2",0.0057133
"5680","HEG1",1.8858e-07
"5681","SASH3",0.38496
"5682","ABCF3",1.5114e-05
"5683","C10orf76",6.2765e-06
"5684","C16orf62",2.2319e-09
"5685","PPOX",0.02829
"5686","DNAH6",1.1201e-36
"5687","KCNMB2",0.5544
"5688","MEX3B",0.55508
"5689","IL34",0.55444
"5690","LIN28B",0.55513
"5691","RCL1",0.059378
"5692","KCND2",0.012477
"5693","SLC43A2",0.0055443
"5694","ZSWIM4",7.9168e-05
"5695","CD248",0.059017
"5696","OPCML",0.22804
"5697","KCNJ8",0.37965
"5698","LZTFL1",0.059115
"5699","MLH1",3.41e-05
"5700","C15orf39",0.0054058
"5701","CECR6",0.69941
"5702","CTAGE5",1.0326e-06
"5703","MYH7",4.2385e-16
"5704","GLCCI1",0.05903
"5705","RRP12",5.7892e-11
"5706","NCAPH",8.0147e-05
"5707","DYNC2H1",1.1366e-44
"5708","RER1",0.37879
"5709","SMIM14",0.79188
"5710","BOC",1.7426e-07
"5711","BOLL",0.058307
"5712","OLA1",0.058062
"5713","MADD",1.5363e-14
"5714","BRMS1L",0.057843
"5715","TUBE1",0.026894
"5716","FOXE1",0.79203
"5717","TTC39C",0.00043602
"5718","NSRP1",0.012099
"5719","RGS14",0.0023174
"5720","PEA15",0.79212
"5721","ANHX",0.22619
"5722","PIANP",0.37791
"5723","TGFB1I1",0.027032
"5724","SPOPL",0.011897
"5725","CD244",0.057288
"5726","SGK1",0.0023046
"5727","ZNF518B",0.0022867
"5728","PCM1",3.7067e-16
"5729","ICA1",0.00099069
"5730","RPRD1A",0.2218
"5731","FAM211A",0.69582
"5732","COL6A2",6.5112e-08
"5733","PISD",0.2217
"5734","SGMS2",0.056938
"5735","RTCB",0.0052059
"5736","ASB9",0.69649
"5737","KDSR",0.11662
"5738","HOXB5",0.69589
"5739","B4GALNT4",2.2451e-06
"5740","C2orf42",0.005143
"5741","SNX17",0.0022034
"5742","NDRG4",0.011627
"5743","FAM105B",0.2201
"5744","PTGER3",0.37217
"5745","SLC30A4",0.11544
"5746","ZBTB22",0.21918
"5747","NOP14",2.1363e-06
"5748","NOTUM",0.0021564
"5749","HHEX",0.54289
"5750","STK24",0.011293
"5751","NDRG1",0.011324
"5752","ABL2",3.6365e-07
"5753","CKB",0.2189
"5754","TECTA",2.9863e-16
"5755","CTCFL",0.00039547
"5756","TRIM23",0.0003937
"5757","BUB1B",6.998e-10
"5758","NFKBIL1",0.025515
"5759","ZFY",0.69359
"5760","CNOT8",0.21741
"5761","FOXK2",0.025464
"5762","IL18RAP",0.0021796
"5763","TFRC",6.9902e-05
"5764","ARMCX2",0.69249
"5765","PIEZO1",3.9379e-21
"5766","CHIC2",0.54245
"5767","EEPD1",0.054875
"5768","NECAB1",0.025009
"5769","WNT9B",0.54137
"5770","NUB1",0.00039037
"5771","RPAP3",6.9941e-05
"5772","D2HGDH",0.054343
"5773","MBOAT7",0.113
"5774","NCAPD2",1.0776e-12
"5775","WRNIP1",0.024592
"5776","MCAM",0.00015954
"5777","CRHBP",0.21476
"5778","NAPB",0.11216
"5779","FASTK",0.0047199
"5780","GPS2",0.053179
"5781","CDCA7",0.010816
"5782","CDK2AP2",0.78801
"5783","AGGF1",2.7334e-05
"5784","ISLR2",0.11102
"5785","CIITA",1.3618e-07
"5786","ATP13A2",8.9582e-09
"5787","BSDC1",0.02408
"5788","YKT6",0.36157
"5789","ELF1",0.01065
"5790","SLC25A25",0.023986
"5791","FAM102A",0.10983
"5792","MINOS1",0.78732
"5793","SLC22A17",0.010603
"5794","CDH12",0.00036444
"5795","DDR1",4.6331e-06
"5796","SEC24A",8.7713e-09
"5797","SEC24D",1.3348e-07
"5798","PTPRN",7.9561e-07
"5799","ULK3",0.0020258
"5800","KLHL28",0.023745
"5801","TSEN34",0.3613
"5802","COL4A2",3.5842e-15
"5803","MCM2",2.6301e-05
"5804","PIWIL4",1.8323e-06
"5805","FHDC1",6.336e-05
"5806","USF1",0.023545
"5807","TMEM170B",0.78657
"5808","PDE7A",0.0045645
"5809","NKX2-1",0.35874
"5810","CABIN1",3.2844e-17
"5811","SH2D3C",0.00035085
"5812","SP140",4.9994e-08
"5813","DDX60",5.2091e-16
"5814","SIAH2",0.68669
"5815","ENPP1",4.9944e-08
"5816","NDST3",1.0699e-05
"5817","FSTL3",0.68658
"5818","RPS16",0.68713
"5819","UNC13B",3.153e-17
"5820","ACAP3",4.4135e-06
"5821","DNAJB5",0.20629
"5822","SYN3",0.0018871
"5823","KCNC3",0.20575
"5824","SEZ6",1.7486e-06
"5825","MTTP",1.04e-05
"5826","TMX3",0.0044014
"5827","URB1",1.2231e-17
"5828","FLRT1",0.35651
"5829","GALNT1",0.0019091
"5830","DDX43",2.4641e-05
"5831","RALGAPA2",3.0325e-17
"5832","PLA2G4A",5.9817e-05
"5833","DNAJC8",0.050961
"5834","JUP",0.00080103
"5835","MLH3",4.9023e-08
"5836","ADCK5",0.0043693
"5837","MBTPS1",7.5901e-09
"5838","ULK2",1.877e-08
"5839","GTF3C3",6.9686e-07
"5840","GALNT16",0.00013872
"5841","TRMT5",0.049774
"5842","C7orf25",0.35388
"5843","MYBPC3",8.0087e-11
"5844","TMEM9B",0.53075
"5845","RAB4A",0.2026
"5846","CDX2",0.52887
"5847","NSFL1C",0.049492
"5848","ARR3",0.10401
"5849","CLP1",0.20272
"5850","CPEB2",0.00013675
"5851","RBBP8NL",0.0098478
"5852","USP9Y",5.7399e-05
"5853","VAPA",0.35325
"5854","FNDC1",4.7841e-12
"5855","SLC19A3",0.1039
"5856","TBC1D10A",0.0042922
"5857","TMEM180",0.049526
"5858","ZNF330",0.049087
"5859","EGR1",0.3509
"5860","EXOC2",2.8675e-09
"5861","C14orf166",0.20165
"5862","CRY2",0.00031808
"5863","PEX5",5.5557e-05
"5864","DNAJA3",0.0098017
"5865","HBP1",0.0042407
"5866","FIZ1",0.52618
"5867","ZC3HAV1",2.3159e-05
"5868","ESAM",0.20185
"5869","SNX12",0.78413
"5870","SOWAHA",0.68222
"5871","ABLIM3",1.0625e-07
"5872","SETDB2",2.3171e-05
"5873","RPS24",0.68141
"5874","C11orf73",0.52459
"5875","NAB1",0.021949
"5876","TRA2A",0.0095214
"5877","ORMDL3",0.78329
"5878","FOXM1",0.0007414
"5879","ADRB2",0.52545
"5880","LETMD1",0.048505
"5881","SH3BP5",0.04833
"5882","TACC1",5.4901e-05
"5883","WBP2",0.34916
"5884","COG2",9.3658e-06
"5885","PHLDB2",1.6748e-08
"5886","HSD17B6",0.34807
"5887","TRIM25",0.0041202
"5888","COIL",0.009434
"5889","B4GALT2",0.19829
"5890","DCUN1D4",0.047486
"5891","SMOC1",0.0094673
"5892","EIF3H",0.047483
"5893","ONECUT1",0.52333
"5894","FLAD1",0.0093637
"5895","SLC8A3",0.00073391
"5896","GPM6B",0.34626
"5897","C19orf26",0.34663
"5898","PGRMC2",0.6801
"5899","GPR26",0.52096
"5900","MED19",0.78193
"5901","EDNRB",0.0092419
"5902","EXOC6",2.435e-07
"5903","PTPLAD1",0.0092999
"5904","LPAR3",0.67935
"5905","VWF",3.2187e-25
"5906","TMEM245",3.6257e-06
"5907","BCL6B",0.046898
"5908","FANCM",2.3536e-15
"5909","METAP2",0.0039908
"5910","STXBP3",5.1597e-05
"5911","NUMB",0.0039959
"5912","LBX1",0.67886
"5913","C1orf94",0.0093207
"5914","CDH13",0.0007058
"5915","SPSB1",0.51982
"5916","FAM192A",0.19472
"5917","ZFYVE21",0.3425
"5918","HPCA",0.6783
"5919","RIPK4",0.0039646
"5920","RBP4",0.51951
"5921","CLSTN2",3.5246e-06
"5922","ADAM12",5.7284e-07
"5923","HLA-DRA",0.51949
"5924","SORBS1",1.534e-12
"5925","TNNC1",0.67833
"5926","PDCD11",3.2929e-16
"5927","ITGA2",6.2805e-11
"5928","SP5",0.51846
"5929","IRF5",0.0090365
"5930","RP11-407N17.3",5.5603e-07
"5931","COL7A1",2.4411e-40
"5932","ASCL1",0.67692
"5933","SIX6",0.51776
"5934","PIK3CG",1.4076e-06
"5935","NGFR",0.097889
"5936","LMO4",0.67667
"5937","DPF3",0.020501
"5938","NAA60",0.51694
"5939","NAA60",0.51694
"5940","SPNS1",0.020414
"5941","RSPH10B2",0.020458
"5942","ARHGAP12",5.513e-07
"5943","C1S",0.00067654
"5944","SH3BP5L",0.04569
"5945","DES",0.0088282
"5946","NUSAP1",0.045674
"5947","BDP1",1.3294e-21
"5948","DISP1",8.8581e-08
"5949","VANGL1",0.020285
"5950","CD72",0.020272
"5951","RAB33B",0.67523
"5952","UBASH3B",4.7054e-05
"5953","VWA5B2",5.2466e-07
"5954","FAM175B",0.020167
"5955","TIMM44",0.0015924
"5956","ANKRD46",0.51507
"5957","NDN",0.67495
"5958","RANBP6",0.00011385
"5959","ZBTB42",0.33802
"5960","TNFRSF11A",0.0087667
"5961","ROBO1",7.2696e-16
"5962","P2RY1",0.51522
"5963","KIFC1",0.00065654
"5964","PDE12",0.044374
"5965","TNFRSF25",0.0086475
"5966","ZFP36L1",0.67406
"5967","TMEM110",0.18873
"5968","CDC45",4.6237e-05
"5969","ARHGEF33",7.7621e-06
"5970","CRYBG3",0.00026933
"5971","CIRBP",0.33636
"5972","SRPK1",1.91e-05
"5973","NXF3",0.0085216
"5974","ARFGAP1",0.0015429
"5975","ATP8A2",1.2026e-12
"5976","UBLCP1",0.094508
"5977","HOXC6",0.51165
"5978","CLTB",0.33443
"5979","TICRR",7.2142e-14
"5980","HIF3A",0.0015428
"5981","CD97",3.0761e-06
"5982","C20orf194",1.1351e-12
"5983","CRX",0.51043
"5984","PGAP1",3.1628e-08
"5985","CDYL2",0.019293
"5986","PRDM14",0.019397
"5987","AREL1",4.9149e-07
"5988","SPIN3",0.77837
"5989","COMMD3-BMI1",0.0014998
"5990","LHFP",0.67057
"5991","TBC1D23",1.782e-05
"5992","BUB1",4.8813e-09
"5993","CDK5R2",0.67068
"5994","EFEMP2",0.0081938
"5995","ALDOC",0.092245
"5996","PCED1A",0.092448
"5997","ENTPD1",0.0080716
"5998","MYPOP",0.66892
"5999","EHD3",0.042234
"6000","GDPD5",0.00025041
"6001","TBC1D12",1.715e-05
"6002","CNR1",0.50652
"6003","NOLC1",0.00010396
"6004","FZD1",0.042428
"6005","BRF1",0.00010409
"6006","CTTNBP2",1.7221e-11
"6007","CEP192",1.2397e-22
"6008","FAM3A",0.66899
"6009","C7orf63",7.3323e-08
"6010","SLC6A15",0.00060384
"6011","DOK4",0.091531
"6012","ZFYVE26",4.6948e-23
"6013","C20orf24",0.66964
"6014","MON1B",0.018676
"6015","DACT3",0.50555
"6016","NELFB",0.0033903
"6017","ZNF35",0.042004
"6018","LSS",1.813e-07
"6019","WNT1",0.3263
"6020","RPRD1B",0.041768
"6021","TADA1",0.090708
"6022","TNXB",0.018547
"6023","ZNF143",0.00024403
"6024","ADAMTS3",1.0278e-10
"6025","MAEL",0.0014038
"6026","RSPO3",0.089252
"6027","RHOBTB1",0.00024175
"6028","VASH1",0.32566
"6029","FGFR3",1.6432e-05
"6030","SGSM2",4.2902e-09
"6031","AMN1",0.32526
"6032","SEMA5B",2.6361e-10
"6033","TMC5",6.9877e-08
"6034","EGR2",0.50292
"6035","STX3",0.041297
"6036","MCOLN1",0.00058027
"6037","NSF",0.018338
"6038","TMEM106B",0.32576
"6039","SLC2A14",0.041173
"6040","ACSBG1",3.959e-05
"6041","HAUS4",0.018011
"6042","PGGT1B",0.040841
"6043","ADRA2C",0.50159
"6044","SGTB",0.040724
"6045","TULP1",0.00056824
"6046","CCDC93",6.7876e-08
"6047","PIWIL2",2.7078e-08
"6048","COL5A3",3.3468e-20
"6049","RHOXF1",0.77494
"6050","GNS",0.00056441
"6051","TNFRSF21",0.040615
"6052","TNFRSF9",0.32153
"6053","IL23R",0.00055961
"6054","N4BP2",3.7496e-11
"6055","STAG3",8.7188e-13
"6056","NCAPG",4.0848e-07
"6057","RGS12",4.0922e-09
"6058","MIDN",0.17862
"6059","STK17A",0.040434
"6060","SEC13",0.017926
"6061","FZD7",0.08835
"6062","FKBP15",5.551e-12
"6063","FLII",5.5313e-12
"6064","SMTN",1.5966e-07
"6065","METTL14",0.0013331
"6066","PRDM4",0.0013238
"6067","DHX38",2.1124e-12
"6068","FCER1G",0.66327
"6069","ST3GAL4",0.039802
"6070","ALX1",0.17618
"6071","IK",2.4864e-06
"6072","EFNB3",0.3205
"6073","EIF3M",0.01748
"6074","ARPP19",0.77371
"6075","PSD2",0.00022099
"6076","DDX50",9.7491e-07
"6077","CLCN6",6.1077e-08
"6078","DOLPP1",0.17497
"6079","GTF2E2",0.039299
"6080","NCKIPSD",0.00022309
"6081","CSTF2T",0.086385
"6082","SLC17A8",0.0013196
"6083","SERINC1",0.0074634
"6084","MEF2C",0.017256
"6085","KIAA0754",0.085483
"6086","ZC3H10",0.31615
"6087","MAPK7",0.0031023
"6088","GLIS1",0.038902
"6089","NEK6",0.038901
"6090","NDUFA2",0.77351
"6091","KATNB1",1.4478e-05
"6092","ZNF324",0.038443
"6093","KHDRBS2",0.038537
"6094","TFAM",0.17259
"6095","IHH",0.31397
"6096","PDZRN4",9.1425e-07
"6097","LYL1",0.77265
"6098","VPS53",1.3999e-07
"6099","C19orf47",0.17091
"6100","ZNF583",0.007156
"6101","TMEM120B",0.0071229
"6102","COX10",0.08405
"6103","SOHLH2",0.0012421
"6104","CCDC169-SOHLH2",0.0012421
"6105","WNT2B",0.038333
"6106","DAPP1",0.17169
"6107","GNAI3",0.038287
"6108","SMARCAL1",2.2554e-06
"6109","SNX33",0.08407
"6110","SH3D19",5.5622e-06
"6111","MTFR1L",0.31279
"6112","PLEKHG2",1.3557e-09
"6113","PREX2",3.3283e-16
"6114","AKAP14",0.65829
"6115","BTBD10",0.0029452
"6116","UXS1",0.0029371
"6117","ABCF1",1.2823e-09
"6118","TMEM64",0.49005
"6119","ST6GALNAC5",0.16967
"6120","ZNF101",0.77153
"6121","NRAS",0.49009
"6122","GPR124",5.4955e-08
"6123","GLUD1",0.0070495
"6124","KLF15",0.48843
"6125","SLC1A5",0.16869
"6126","ICK",1.3376e-05
"6127","TAT",0.0068998
"6128","CD164",0.48906
"6129","SLC39A7",0.082078
"6130","ASIC4",0.0028675
"6131","HLA-E",0.036773
"6132","C11orf57",0.30748
"6133","MAPK3",0.036884
"6134","TGFB1",0.03685
"6135","RNF166",0.48668
"6136","SLC7A6OS",0.16755
"6137","PAX9",0.30866
"6138","LCAT",0.08102
"6139","ITPR2",5.7127e-29
"6140","LONRF2",0.0011706
"6141","SPIC",0.30668
"6142","OLFM2",0.080225
"6143","SLC30A2",0.080883
"6144","HOMEZ",0.015814
"6145","KCNJ2",0.30653
"6146","RNF20",1.7545e-10
"6147","TMEM89",0.76981
"6148","GPC1",0.015547
"6149","NOP10",0.76943
"6150","PALM3",0.48446
"6151","FECH",0.0027587
"6152","ANKRD10",0.1645
"6153","DPP4",7.2797e-09
"6154","AHCY",0.035922
"6155","PDCL",0.30486
"6156","COL4A4",6.7123e-16
"6157","NXPH1",0.4837
"6158","DCX",0.3042
"6159","RCSD1",0.036157
"6160","RGMA",0.16472
"6161","TMEM39B",0.0065082
"6162","CLDND1",0.16354
"6163","EPHB6",1.2013e-07
"6164","RP11-1035H13.3",0.1639
"6165","OPRL1",0.48172
"6166","LYSMD3",0.30382
"6167","MAN2A1",1.6205e-10
"6168","POLR2H",0.65257
"6169","AARS",1.8242e-08
"6170","LHFPL4",0.65247
"6171","DACH2",0.16242
"6172","ZFP92",0.65179
"6173","CDC42SE2",0.76835
"6174","PTPDC1",2.9858e-05
"6175","HSPA12B",0.00045299
"6176","RGS8",0.30184
"6177","ICAM1",0.035295
"6178","KCNJ9",0.30133
"6179","RPL28",0.76854
"6180","ZNF41",0.035083
"6181","CCDC92",0.29985
"6182","NOC4L",0.0010792
"6183","OTUD1",0.65091
"6184","IER2",0.76773
"6185","ZBTB7C",0.16087
"6186","KLHL13",0.035016
"6187","MAN2A2",1.4995e-10
"6188","TMED7",0.47966
"6189","TBP",0.015031
"6190","SOX7",0.47914
"6191","WIPI2",0.0063887
"6192","MIB2",2.8024e-07
"6193","RCE1",0.15955
"6194","FZD3",0.00043561
"6195","MAPK1IP1L",0.64991
"6196","ZNF133",0.0026035
"6197","TUBA4A",0.15983
"6198","JKAMP",0.076522
"6199","CNIH1",0.64965
"6200","TUSC2",0.7671
"6201","PRC1",2.6753e-07
"6202","WDR91",4.3664e-06
"6203","BCAN",1.7582e-06
"6204","LAMA1",3.2248e-32
"6205","HADHA",4.4354e-06
"6206","PABPC1L",0.00043212
"6207","UNC5B",2.6935e-07
"6208","NR1D2",0.0061743
"6209","HSPA4L",6.9455e-07
"6210","FAM160A1",1.1161e-05
"6211","ST3GAL3",0.0025598
"6212","ESYT1",1.6707e-13
"6213","FOXRED2",0.0025238
"6214","FADS3",0.0025334
"6215","PRKD1",6.6485e-07
"6216","SMOC2",0.0025279
"6217","KRT10",0.0025253
"6218","NSMCE4A",0.014523
"6219","PAF1",0.00016932
"6220","PLEKHO2",0.033559
"6221","GPR50",0.64639
"6222","HOOK1",3.8686e-08
"6223","SLC25A3",0.074834
"6224","GOT2",0.014233
"6225","TMEM123",0.64643
"6226","COQ10B",0.29421
"6227","ZNF304",0.032902
"6228","ATP1B2",0.073684
"6229","QSOX1",2.5936e-05
"6230","YARS",0.0010047
"6231","GJA1",0.15523
"6232","TDRD3",4.1011e-06
"6233","RTN3",6.6163e-05
"6234","PPP4R4",2.2494e-09
"6235","CD2",0.47108
"6236","SMARCD2",6.4893e-05
"6237","TLR9",1.0088e-05
"6238","C1orf172",0.15422
"6239","ZBED6",0.00039942
"6240","ZNF563",0.7644
"6241","RNF167",0.032145
"6242","TXNDC16",9.949e-06
"6243","CKAP2L",0.00015885
"6244","LRRN3",0.032413
"6245","SPAG17",1.1892e-24
"6246","SERAC1",3.9339e-06
"6247","TMEM41B",0.28842
"6248","EPS8L2",1.494e-06
"6249","SERPINF2",0.013624
"6250","FBXO24",0.00038251
"6251","KEAP1",0.00038766
"6252","MTR",2.4301e-12
"6253","UTP18",0.0023345
"6254","CERS3",0.0056921
"6255","COL16A1",2.9031e-24
"6256","SUCLA2",0.0023488
"6257","TOX2",0.031987
"6258","IL22RA1",0.0056855
"6259","FDPS",0.0056199
"6260","DRP2",3.7475e-06
"6261","SV2C",2.4354e-05
"6262","MRVI1",2.2619e-07
"6263","ACTG2",0.071036
"6264","CENPL",0.071221
"6265","HOXA1",0.28514
"6266","DOPEY2",7.5465e-21
"6267","MAB21L1",0.28626
"6268","HR",7.438e-10
"6269","CITED2",0.76271
"6270","RUNDC3B",0.00093163
"6271","NR1H4",0.00093892
"6272","SHFM1",0.76288
"6273","ERGIC2",0.013458
"6274","CTC1",1.6015e-11
"6275","SLC35B2",0.071488
"6276","CHN2",0.0023008
"6277","NEDD4",8.7208e-13
"6278","NXPE3",0.013439
"6279","MARK3",1.4273e-06
"6280","CDSN",0.46391
"6281","LRRC49",9.3518e-06
"6282","GATA5",0.28478
"6283","SYNPO2",8.5623e-08
"6284","RAB24",0.14963
"6285","ZFAT",1.275e-08
"6286","FAM13C",5.8127e-05
"6287","AMFR",5.8368e-05
"6288","TMEM165",0.28339
"6289","EDIL3",0.00014584
"6290","CABLES1",0.0054966
"6291","MYH3",6.7197e-21
"6292","ZFAND6",0.46236
"6293","EFNA1",0.46263
"6294","FSTL5",1.4042e-06
"6295","DNAJC10",1.1869e-08
"6296","NKX3-2",0.63821
"6297","LDHA",0.069173
"6298","STARD9",1.0336e-38
"6299","MGAT3",0.14725
"6300","SLC51A",0.069643
"6301","ATP6V1H",0.00014523
"6302","SYCE2",0.28077
"6303","SV2B",5.7007e-05
"6304","PDDC1",0.46045
"6305","PPARA",0.030182
"6306","PLAT",5.6593e-05
"6307","PSMD8",0.068806
"6308","ARL4C",0.76081
"6309","HEATR5B",3.066e-22
"6310","IL17RA",0.00035636
"6311","MPP3",3.4521e-06
"6312","UTP14C",0.0053453
"6313","CAB39",0.068013
"6314","SLC6A9",2.1702e-05
"6315","VSNL1",0.45742
"6316","HPS4",0.00013778
"6317","LMO1",0.63546
"6318","SLC25A37",0.27886
"6319","PTPRJ",1.2879e-11
"6320","GOLGA7",0.45619
"6321","VRK1",0.0021149
"6322","MKRN3",0.27756
"6323","EN2",0.63448
"6324","FCGR2B",0.45637
"6325","CAMKK1",0.00033981
"6326","ACVR1C",0.00085157
"6327","KPNA5",0.00013525
"6328","MPC2",0.63515
"6329","USP4",1.6119e-09
"6330","FAM53C",0.067598
"6331","BRCA2",2.3581e-25
"6332","MEI1",4.711e-12
"6333","ITGAM",3.3148e-11
"6334","EDN1",0.45504
"6335","PPARG",0.029194
"6336","PRR5",0.066916
"6337","TJP2",3.236e-11
"6338","UNCX",0.63399
"6339","SEMA6C",1.238e-06
"6340","RP5-1052I5.2",0.066738
"6341","ZNF382",0.029397
"6342","THSD7B",2.6474e-19
"6343","COL9A2",1.0453e-08
"6344","HCRTR2",0.005035
"6345","SLC18A3",0.45355
"6346","ALOX5",1.2059e-06
"6347","CALCOCO1",1.202e-06
"6348","SLC25A23",0.0020617
"6349","SLC25A4",0.45334
"6350","TMOD3",0.06636
"6351","SPIN4",0.75843
"6352","TEF",0.63291
"6353","UBC",0.14161
"6354","DOK1",0.029002
"6355","SIL1",0.012265
"6356","RCHY1",0.066203
"6357","TINAGL1",0.00032933
"6358","BGN",0.45229
"6359","UBE2S",0.63172
"6360","HDGF",0.27272
"6361","PPFIA4",1.9863e-05
"6362","SLC1A4",0.06559
"6363","ATRIP",1.9918e-05
"6364","DENND2D",0.00081369
"6365","PRR5L",0.065457
"6366","WDR12",0.00032559
"6367","VSTM2A",0.27277
"6368","GALNT10",1.987e-05
"6369","GDF7",0.63062
"6370","SOCS2",0.62999
"6371","TRHR",0.2711
"6372","TPST2",0.27109
"6373","ABCB11",1.5612e-12
"6374","NR2F6",0.45111
"6375","AMPD2",4.5084e-07
"6376","ANPEP",3.7492e-09
"6377","MPZ",0.27158
"6378","GRM8",4.5334e-07
"6379","KCNG3",0.27167
"6380","PLOD2",6.6965e-08
"6381","SYNGR1",0.45121
"6382","TNNT2",0.0020041
"6383","DHX16",1.5996e-12
"6384","CYC1",0.13875
"6385","GTF2IRD2B",0.064422
"6386","MYCBPAP",9.491e-09
"6387","RP11-1407O15.2",0.028009
"6388","TBCCD1",0.0019751
"6389","GCDH",0.004856
"6390","LGR6",2.9439e-06
"6391","SH3GL1",0.011714
"6392","LRRC8C",0.00078506
"6393","UGT8",0.027986
"6394","CHST14",0.44727
"6395","ICA1L",0.00077913
"6396","LRRK2",2.5757e-30
"6397","PRIMA1",0.62894
"6398","ZDHHC3",0.027681
"6399","POLE",8.0488e-27
"6400","ZBTB26",0.1378
"6401","CNN1",0.13803
"6402","NDST4",6.3382e-08
"6403","GFRA3",0.027638
"6404","GGPS1",0.26866
"6405","SLC6A11",4.83e-05
"6406","RPS27",0.75663
"6407","CYTH4",0.00077316
"6408","AEBP1",7.3471e-11
"6409","RALY",0.13796
"6410","NDUFA9",0.0047988
"6411","LAMB1",5.0687e-22
"6412","MTO1",7.38e-06
"6413","CRKL",0.44604
"6414","GALNT18",0.00030345
"6415","ALG6",0.00030541
"6416","ZBTB6",0.13693
"6417","ARFRP1",0.13743
"6418","CHCHD3",0.027527
"6419","C19orf66",0.13736
"6420","KIAA0195",2.7548e-14
"6421","MESDC2",0.62773
"6422","STK38",0.00076687
"6423","MOG",0.13748
"6424","THOP1",0.0001213
"6425","STARD13",2.3524e-08
"6426","PKP4",5.269e-13
"6427","PNPLA6",1.94e-13
"6428","LAMP2",0.26698
"6429","RGS17",0.26684
"6430","SEMA4A",1.8394e-05
"6431","KREMEN1",0.011362
"6432","CDK4",0.062909
"6433","ZNF2",0.027216
"6434","PTPN13",1.4172e-25
"6435","GOSR1",0.062823
"6436","B4GALT3",0.011393
"6437","IL20RA",0.027129
"6438","STC2",0.26588
"6439","TRIM37",9.7042e-12
"6440","TMEM151B",0.13582
"6441","PACSIN3",0.0018909
"6442","PDIK1L",0.26436
"6443","KLHL7",4.559e-05
"6444","ZNF641",0.0045726
"6445","TNFAIP1",0.13509
"6446","RAB11B",0.4442
"6447","SSTR2",0.44416
"6448","NLE1",0.0002959
"6449","B3GAT1",0.13521
"6450","IL21",0.6254
"6451","TRIM7",0.02684
"6452","KIAA1958",0.011171
"6453","PURB",0.62543
"6454","TNFSF10",0.13495
"6455","TMEM60",0.75498
"6456","PHF10",0.0002878
"6457","USP38",3.8483e-07
"6458","ZBTB48",0.00011507
"6459","SIGLEC10",6.8352e-06
"6460","CHL1",8.889e-12
"6461","CRBN",0.00028911
"6462","LRIG3",1.1655e-09
"6463","SERPINI1",0.026631
"6464","TMEM2",4.6831e-13
"6465","C2CD3",4.4437e-19
"6466","SUDS3",0.0045448
"6467","ELF4",0.06139
"6468","RAD51",0.026578
"6469","MGAT4A",4.4513e-05
"6470","TMEM132E",4.4887e-05
"6471","CACNB3",0.00028915
"6472","AQP3",0.13398
"6473","MPHOSPH9",1.6616e-10
"6474","AP3M1",0.026524
"6475","GALNT7",2.5907e-06
"6476","CELF6",0.0044515
"6477","TMEM56",0.26127
"6478","MYO1G",4.3609e-10
"6479","RGS3",2.2646e-11
"6480","CUEDC2",0.060805
"6481","CLPTM1L",4.3885e-05
"6482","UHRF1BP1",4.4659e-13
"6483","ZBTB14",0.26111
"6484","ACTL6B",0.00028347
"6485","DZIP3",1.6537e-13
"6486","FOS",0.26176
"6487","CDKN1B",0.62376
"6488","RIT1",0.13281
"6489","USP28",4.5284e-13
"6490","LUC7L2",0.00028277
"6491","ARPC1B",0.010999
"6492","DIO3",0.62331
"6493","CP",4.2013e-10
"6494","GZF1",0.0017798
"6495","C14orf93",0.01085
"6496","RRAD",0.43879
"6497","TIMM50",0.0017835
"6498","AC074212.3",0.0044198
"6499","EDC3",0.026011
"6500","ADAMTS7",2.2517e-14
"6501","CENPN",0.0044226
"6502","GPR22",0.060335
"6503","TRIP10",1.6667e-05
"6504","PSKH1",0.26016
"6505","GALNT11",1.6685e-05
"6506","PSME1",0.13197
"6507","CEP250",9.449e-33
"6508","CUBN",4.6292e-42
"6509","RBP3",0.00010889
"6510","PPP1R16A",0.004389
"6511","TCP11L1",0.0043702
"6512","ADAMTSL3",1.3662e-19
"6513","SGOL2",3.6085e-07
"6514","NLRP6",0.00027432
"6515","ZG16",0.62131
"6516","IL1B",0.13005
"6517","LAMC2",2.8791e-12
"6518","SUN2",1.9389e-08
"6519","ITGB4",9.5287e-19
"6520","HIC1",0.13002
"6521","RRN3",1.618e-05
"6522","LPPR5",0.0593
"6523","CXorf57",0.0002712
"6524","SYTL5",0.00026919
"6525","SHC1",0.0017351
"6526","KISS1R",0.43649
"6527","ZNF341",2.4063e-06
"6528","FBXO10",2.3763e-06
"6529","PEX6",6.253e-06
"6530","ARL8B",0.12959
"6531","BAIAP2L1",0.00010429
"6532","TDRD9",7.2697e-15
"6533","ITGB7",2.3661e-06
"6534","ENOX1",2.3323e-06
