"","gene","pLI"
"279","DPYSL5",0.99991
"280","USP8",1
"281","TIPARP",0.99991
"282","ZBTB4",0.99991
"283","ISY1",0.9999
"284","HNRNPU",1
"285","TLK2",1
"286","TRERF1",1
"287","DHX30",1
"288","MYCBP2",1
"289","FUBP1",1
"290","TRIM24",1
"291","ZC3H7A",1
"292","UBXN7",0.99988
"293","SLC17A7",0.99988
"294","NOTCH2",1
"295","SMARCC1",1
"296","RAI1",1
"297","CSE1L",1
"298","EIF4A1",0.99987
"299","PIK3CA",1
"300","KIF5C",1
"301","REV3L",1
"302","AGPS",1
"303","ADAM10",1
"304","MED1",1
"305","SMARCC2",1
"306","MYRF",1
"307","DOT1L",1
"308","CHAF1A",1
"309","PSMD1",1
"310","SRRM2",1
"311","PIAS4",0.99986
"312","ACTR3",0.99986
"313","DDX3X",0.99986
"314","TSC1",1
"315","SON",1
"316","WHSC1",1
"317","TCEB3",1
"318","STAG1",1
"319","ATRX",1
"320","VCPIP1",1
"321","EIF4A3",0.99985
"322","MAU2",1
"323","PSMC2",0.99985
"324","DAZAP1",0.99985
"325","POGZ",1
"326","PRKAR1A",0.99985
"327","SF3A3",1
"328","FXR1",1
"329","CDC42BPB",1
"330","XPO7",1
"331","RARB",0.99983
"332","RERE",1
"333","ZMYND11",1
"334","RPL4",0.99984
"335","SUPT16H",1
"336","ZBTB47",0.99983
"337","PRRC2C",1
"338","PPFIA3",1
"339","ATP1A1",1
"340","KIF11",1
"341","NCOA2",1
"342","HIPK1",1
"343","KIAA0430",1
"344","ARMCX4",1
"345","KMT2C",1
"346","PIK3AP1",1
"347","SEMA4C",1
"348","CYTH1",0.99981
"349","RBM17",0.99981
"350","RTF1",1
"351","IPO5",1
"352","NUP98",1
"353","TRAF2",0.99979
"354","EIF4B",0.99999
"355","ADNP",1
"356","RET",1
"357","TEAD1",0.9998
"358","CCDC22",0.99979
"359","SHANK3",1
"360","CACNA1E",1
"361","PRMT5",0.99999
"362","JADE3",0.99978
"363","WDR5",0.99978
"364","CUL4A",0.99999
"365","PCLO",1
"366","ZNF219",0.99977
"367","GAPVD1",1
"368","EPC1",1
"369","KCNB1",0.99977
"370","NLGN2",0.99974
"371","PCDH19",0.99975
"372","DDX17",0.99999
"373","RB1",1
"374","WNK1",1
"375","ZC3H18",1
"376","CDK12",1
"377","HECTD4",1
"378","RALGPS1",0.99999
"379","TNRC6C",1
"380","SCN2A",1
"381","SOBP",0.99972
"382","VCP",0.99999
"383","TLN1",1
"384","BTAF1",1
"385","EPHA7",1
"386","COL4A1",1
"387","SIK3",1
"388","KAT6B",1
"389","KAT7",0.99999
"390","ZFR",1
"391","GSE1",1
"392","GSK3A",0.9997
"393","L1CAM",1
"394","CTNNB1",0.99999
"395","PBRM1",1
"396","PRICKLE1",0.99999
"397","PUM1",1
"398","AHCTF1",1
"399","TNPO2",1
"400","AAK1",1
"401","RASA1",1
"402","CDC5L",1
"403","FERMT2",0.99999
"404","WTAP",0.99966
"405","UBR3",1
"406","SCN8A",1
"407","FNIP2",1
"408","MSN",0.99967
"409","PPP1R12A",1
"410","RANBP9",0.99999
"411","USP47",1
"412","CCDC88A",1
"413","MLLT3",0.99964
"414","EIF3A",1
"415","YTHDC2",1
"416","KSR2",1
"417","ZMYND8",1
"418","CCNA2",0.99962
"419","PTPN6",0.99999
"420","SCML2",0.99961
"421","SNRK",0.99961
"422","MINK1",1
"423","IRF6",0.99961
"424","ZRSR2",0.99963
"425","RFX7",1
"426","CSTF2",0.99959
"427","NR4A2",0.99959
"428","TULP4",1
"429","MAP1B",1
"430","USP42",1
"431","ZNF592",0.99998
"432","NPAS2",1
"433","ZSWIM8",1
"434","IQSEC2",0.99998
"435","U2AF2",0.9996
"436","ITPR1",1
"437","COL2A1",1
"438","NPLOC4",0.99998
"439","MAPKAPK2",0.99957
"440","DDX42",1
"441","CACNA1A",1
"442","SUZ12",0.99998
"443","PHF12",1
"444","DACH1",0.99954
"445","PORCN",0.99953
"446","CTR9",1
"447","RBM5",1
"448","NRBP1",0.99998
"449","TBX5",0.99954
"450","FRMD4A",1
"451","PTPN11",0.99998
"452","DLGAP3",0.99998
"453","HIRA",1
"454","SETD1A",1
"455","NAA35",1
"456","ELMSAN1",1
"457","CACTIN",0.99998
"458","ARHGEF6",0.99998
"459","FAM120C",0.99998
"460","RBM6",1
"461","KIF1A",1
"462","MECOM",1
"463","MBD5",1
"464","MEIS1",0.99951
"465","INTS6",1
"466","ZFHX3",1
"467","JPH4",0.99948
"468","SMARCA1",1
"469","HEATR1",1
"470","BAI3",1
"471","SLC12A5",1
"472","TAF3",0.99997
"473","SHOC2",0.99946
